M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
-0.680183 1.74566 
-1.34032 1.62985 
-0.145415 0.259332 
-1.51039 -0.934838 
-0.637801 2.00648 
-1.82823 -0.123883 
-0.884899 1.21537 
-0.220253 0.981141 
-0.954028 1.32533 
-0.51102 1.25948 
-1.02789 -0.0874664 
-0.392096 2.4046 
-0.551146 1.73045 
-1.40028 -0.0420973 
-0.587384 1.04259 
-0.75153 0.704942 
-0.606546 0.336635 
-1.08786 0.0489646 
-0.68269 0.376594 
-1.11514 1.70549 
-0.970233 0.846203 
-0.962209 0.884915 
-0.718762 -0.16696 
-0.420132 0.240844 
-0.528137 -0.130014 
-0.105718 -0.0454875 
-0.972472 -1.17658 
-1.0267 -0.457147 
-0.168304 0.301384 
-0.417352 2.03582 
-0.88844 -0.469411 
-1.56804 0.0808471 
-0.967669 -0.43784 
-0.788116 0.915545 
-1.04013 0.428032 
-0.742448 -0.683216 
-0.178068 1.13276 
-1.49285 0.864848 
-0.417748 1.72532 
-1.2137 0.764627 
-0.624324 2.66834 
-1.12722 -0.397994 
-1.17852 -0.0436056 
-0.756578 2.36559 
-1.4629 -0.00703953 
-0.882908 -0.242808 
-1.07701 0.363124 
-1.40339 1.59985 
-0.65415 1.63922 
-0.823639 1.59881 
-1.2305 2.14959 
-1.15628 0.435299 
-1.04364 -0.100661 
-0.399954 1.818 
-0.429175 2.5979 
-1.51653 2.11956 
-0.869252 0.8387 
-0.813098 0.364153 
-0.222724 1.60104 
-1.93373 0.0253832 
-0.883026 1.0717 
-0.981679 1.0772 
-0.857033 0.0793217 
-0.345713 2.33458 
-0.0866801 1.67751 
-1.09828 -0.115433 
-1.39337 1.06491 
-1.05013 1.26766 
-0.702757 1.38611 
-0.580707 0.64083 
-0.687951 0.217106 
-1.05547 -0.651479 
-1.45287 0.249228 
-0.68174 2.88909 
0.150862 2.35246 
-0.797143 0.419945 
-1.52642 -0.461381 
-0.831961 -0.528429 
-1.38626 -0.697127 
